source,target,weight,x,u,tau_F,tau_D
2,6664,17.04255965118713,1.0,0.19,1500.0,200.0
2,7312,17.04255965118713,1.0,0.19,1500.0,200.0
2,5400,17.04255965118713,1.0,0.19,1500.0,200.0
2,304,76.69151843034209,1.0,0.19,1500.0,200.0
2,656,76.69151843034209,1.0,0.19,1500.0,200.0
2,7872,17.04255965118713,1.0,0.19,1500.0,200.0
2,5928,17.04255965118713,1.0,0.19,1500.0,200.0
2,984,17.04255965118713,1.0,0.19,1500.0,200.0
2,6472,17.04255965118713,1.0,0.19,1500.0,200.0
2,7448,17.04255965118713,1.0,0.19,1500.0,200.0
2,7768,17.04255965118713,1.0,0.19,1500.0,200.0
2,2864,17.04255965118713,1.0,0.19,1500.0,200.0
2,1744,17.04255965118713,1.0,0.19,1500.0,200.0
2,5176,17.04255965118713,1.0,0.19,1500.0,200.0
2,7952,17.04255965118713,1.0,0.19,1500.0,200.0
2,7792,17.04255965118713,1.0,0.19,1500.0,200.0
2,2464,17.04255965118713,1.0,0.19,1500.0,200.0
2,1944,17.04255965118713,1.0,0.19,1500.0,200.0
2,6520,17.04255965118713,1.0,0.19,1500.0,200.0
2,2496,17.04255965118713,1.0,0.19,1500.0,200.0
2,1792,17.04255965118713,1.0,0.19,1500.0,200.0
2,4120,17.04255965118713,1.0,0.19,1500.0,200.0
2,1760,17.04255965118713,1.0,0.19,1500.0,200.0
2,1104,17.04255965118713,1.0,0.19,1500.0,200.0
2,5464,17.04255965118713,1.0,0.19,1500.0,200.0
2,6584,17.04255965118713,1.0,0.19,1500.0,200.0
2,944,17.04255965118713,1.0,0.19,1500.0,200.0
2,4296,17.04255965118713,1.0,0.19,1500.0,200.0
2,6952,17.04255965118713,1.0,0.19,1500.0,200.0
2,4360,17.04255965118713,1.0,0.19,1500.0,200.0
2,40,76.69151843034209,1.0,0.19,1500.0,200.0
2,4384,17.04255965118713,1.0,0.19,1500.0,200.0
2,5384,17.04255965118713,1.0,0.19,1500.0,200.0
2,5840,17.04255965118713,1.0,0.19,1500.0,200.0
2,7672,17.04255965118713,1.0,0.19,1500.0,200.0
2,3096,17.04255965118713,1.0,0.19,1500.0,200.0
2,2136,17.04255965118713,1.0,0.19,1500.0,200.0
2,4720,17.04255965118713,1.0,0.19,1500.0,200.0
2,4880,17.04255965118713,1.0,0.19,1500.0,200.0
2,840,17.04255965118713,1.0,0.19,1500.0,200.0
2,120,76.69151843034209,1.0,0.19,1500.0,200.0
2,6368,17.04255965118713,1.0,0.19,1500.0,200.0
2,3912,17.04255965118713,1.0,0.19,1500.0,200.0
2,104,76.69151843034209,1.0,0.19,1500.0,200.0
2,800,76.69151843034209,1.0,0.19,1500.0,200.0
2,4464,17.04255965118713,1.0,0.19,1500.0,200.0
2,2144,17.04255965118713,1.0,0.19,1500.0,200.0
2,2224,17.04255965118713,1.0,0.19,1500.0,200.0
2,6424,17.04255965118713,1.0,0.19,1500.0,200.0
3,4152,17.04255965118713,1.0,0.19,1500.0,200.0
3,1296,17.04255965118713,1.0,0.19,1500.0,200.0
3,7792,17.04255965118713,1.0,0.19,1500.0,200.0
3,1504,17.04255965118713,1.0,0.19,1500.0,200.0
3,1640,17.04255965118713,1.0,0.19,1500.0,200.0
3,5608,17.04255965118713,1.0,0.19,1500.0,200.0
3,1840,17.04255965118713,1.0,0.19,1500.0,200.0
3,6584,17.04255965118713,1.0,0.19,1500.0,200.0
3,6128,17.04255965118713,1.0,0.19,1500.0,200.0
3,1264,17.04255965118713,1.0,0.19,1500.0,200.0
3,400,76.69151843034209,1.0,0.19,1500.0,200.0
3,1288,17.04255965118713,1.0,0.19,1500.0,200.0
3,3440,17.04255965118713,1.0,0.19,1500.0,200.0
3,7448,17.04255965118713,1.0,0.19,1500.0,200.0
3,576,76.69151843034209,1.0,0.19,1500.0,200.0
3,4176,17.04255965118713,1.0,0.19,1500.0,200.0
3,7048,17.04255965118713,1.0,0.19,1500.0,200.0
3,3336,17.04255965118713,1.0,0.19,1500.0,200.0
3,6104,17.04255965118713,1.0,0.19,1500.0,200.0
3,2880,17.04255965118713,1.0,0.19,1500.0,200.0
3,3720,17.04255965118713,1.0,0.19,1500.0,200.0
3,24,76.69151843034209,1.0,0.19,1500.0,200.0
3,4504,17.04255965118713,1.0,0.19,1500.0,200.0
3,4216,17.04255965118713,1.0,0.19,1500.0,200.0
3,6208,17.04255965118713,1.0,0.19,1500.0,200.0
3,4296,17.04255965118713,1.0,0.19,1500.0,200.0
3,768,76.69151843034209,1.0,0.19,1500.0,200.0
3,8,76.69151843034209,1.0,0.19,1500.0,200.0
3,3968,17.04255965118713,1.0,0.19,1500.0,200.0
3,2184,17.04255965118713,1.0,0.19,1500.0,200.0
3,224,76.69151843034209,1.0,0.19,1500.0,200.0
3,968,17.04255965118713,1.0,0.19,1500.0,200.0
3,5424,17.04255965118713,1.0,0.19,1500.0,200.0
3,696,76.69151843034209,1.0,0.19,1500.0,200.0
3,3768,17.04255965118713,1.0,0.19,1500.0,200.0
3,184,76.69151843034209,1.0,0.19,1500.0,200.0
3,7432,17.04255965118713,1.0,0.19,1500.0,200.0
3,7040,17.04255965118713,1.0,0.19,1500.0,200.0
3,6920,17.04255965118713,1.0,0.19,1500.0,200.0
3,1744,17.04255965118713,1.0,0.19,1500.0,200.0
3,824,17.04255965118713,1.0,0.19,1500.0,200.0
3,7832,17.04255965118713,1.0,0.19,1500.0,200.0
3,2904,17.04255965118713,1.0,0.19,1500.0,200.0
3,1312,17.04255965118713,1.0,0.19,1500.0,200.0
3,4880,17.04255965118713,1.0,0.19,1500.0,200.0
3,1024,17.04255965118713,1.0,0.19,1500.0,200.0
3,3584,17.04255965118713,1.0,0.19,1500.0,200.0
3,6768,17.04255965118713,1.0,0.19,1500.0,200.0
3,5968,17.04255965118713,1.0,0.19,1500.0,200.0
3,2944,17.04255965118713,1.0,0.19,1500.0,200.0
3,64,76.69151843034209,1.0,0.19,1500.0,200.0
3,1584,17.04255965118713,1.0,0.19,1500.0,200.0
3,6824,17.04255965118713,1.0,0.19,1500.0,200.0
