time,source,target,x,u,t_last_spike
190.0,1057,5194,0.6561,0.3439,120.95
190.0,1058,4494,1.0,0.19,-1.0
190.0,1059,7044,1.0,0.19,-1.0
190.0,1060,2846,1.0,0.19,-1.0
190.0,1061,1697,1.0,0.19,-1.0
190.0,1062,51,1.0,0.19,-1.0
190.0,1063,7179,1.0,0.19,-1.0
190.0,1064,420,1.0,0.19,-1.0
190.0,1065,4192,1.0,0.19,-1.0
190.0,1066,5132,1.0,0.19,-1.0
190.0,1067,920,1.0,0.19,-1.0
190.0,1068,2577,1.0,0.19,-1.0
190.0,1069,1592,1.0,0.19,-1.0
190.0,1070,2309,1.0,0.19,-1.0
190.0,1071,7917,1.0,0.19,-1.0
190.0,1072,1566,1.0,0.19,-1.0
190.0,1073,4636,1.0,0.19,-1.0
190.0,1074,7713,1.0,0.19,-1.0
190.0,1075,3494,1.0,0.19,-1.0
190.0,1076,6965,1.0,0.19,-1.0
190.0,1077,1099,1.0,0.19,-1.0
190.0,1078,6578,1.0,0.19,-1.0
190.0,1079,445,1.0,0.19,-1.0
190.0,1080,7453,1.0,0.19,-1.0
190.0,1081,6963,1.0,0.19,-1.0
190.0,1082,232,1.0,0.19,-1.0
190.0,1083,4528,1.0,0.19,-1.0
190.0,1084,7619,1.0,0.19,-1.0
190.0,1085,990,0.6561,0.3439,71.55
190.0,1086,7423,1.0,0.19,-1.0
190.0,1087,4558,1.0,0.19,-1.0
190.0,1088,1513,1.0,0.19,-1.0
190.0,1089,2907,1.0,0.19,-1.0
190.0,1090,2943,1.0,0.19,-1.0
190.0,1091,6506,1.0,0.19,-1.0
190.0,1092,901,0.6561,0.3439,90.10000000000001
190.0,1093,6109,1.0,0.19,-1.0
190.0,1094,7730,1.0,0.19,-1.0
190.0,1095,4998,1.0,0.19,-1.0
190.0,1096,2540,1.0,0.19,-1.0
190.0,1097,2949,1.0,0.19,-1.0
190.0,1098,7416,1.0,0.19,-1.0
190.0,1099,7571,1.0,0.19,-1.0
190.0,1100,1763,1.0,0.19,-1.0
190.0,1101,4307,1.0,0.19,-1.0
190.0,1102,3548,1.0,0.19,-1.0
190.0,1103,2470,1.0,0.19,-1.0
190.0,1104,5336,1.0,0.19,-1.0
190.0,1105,1847,1.0,0.19,-1.0
190.0,1106,3827,1.0,0.19,-1.0
190.0,1107,7946,1.0,0.19,-1.0
190.0,1108,3774,1.0,0.19,-1.0
190.0,1109,1226,1.0,0.19,-1.0
190.0,1110,4640,1.0,0.19,-1.0
190.0,1111,4737,1.0,0.19,-1.0
190.0,1112,5858,0.6561,0.3439,78.2
190.0,1113,5039,1.0,0.19,-1.0
190.0,1114,986,1.0,0.19,-1.0
190.0,1115,6838,1.0,0.19,-1.0
190.0,1116,6055,1.0,0.19,-1.0
190.0,1117,4407,1.0,0.19,-1.0
190.0,1118,5787,1.0,0.19,-1.0
190.0,1119,1778,1.0,0.19,-1.0
190.0,1120,4360,1.0,0.19,-1.0
190.0,1121,2669,1.0,0.19,-1.0
190.0,1122,3882,1.0,0.19,-1.0
190.0,1123,1336,1.0,0.19,-1.0
190.0,1124,7064,1.0,0.19,-1.0
190.0,1125,234,1.0,0.19,-1.0
190.0,1126,6696,1.0,0.19,-1.0
190.0,1127,7719,0.6561,0.3439,71.2
190.0,1128,3684,1.0,0.19,-1.0
190.0,1129,1214,0.6561,0.3439,101.5
